Year,Energy_Source,Net_Generation_MWh
2023,Estimated Solar Photovoltaic,19751.0
2013,Estimated Total Solar Photovoltaic,
2014,Estimated Total Solar Photovoltaic,5516.0
2015,Estimated Total Solar Photovoltaic,6106.0
2016,Estimated Total Solar Photovoltaic,6687.0
2017,Estimated Total Solar Photovoltaic,8206.0
2018,Estimated Total Solar Photovoltaic,10324.0
2019,Estimated Total Solar Photovoltaic,11588.0
2020,Estimated Total Solar Photovoltaic,13445.0
2021,Estimated Total Solar Photovoltaic,15722.0
2022,Estimated Total Solar Photovoltaic,18393.0
2023,Estimated Total Solar Photovoltaic,20366.0
2013,Estimated Total Solar,
2014,Estimated Total Solar,5516.0
2015,Estimated Total Solar,6106.0
2016,Estimated Total Solar,6687.0
2017,Estimated Total Solar,8206.0
2018,Estimated Total Solar,10324.0
2019,Estimated Total Solar,11588.0
2020,Estimated Total Solar,13445.0
2021,Estimated Total Solar,15722.0
2022,Estimated Total Solar,18393.0
2023,Estimated Total Solar,20366.0
2013,Coal,12554.0
2014,Coal,12341.0
2015,Coal,10896.0
2016,Coal,9103.0
2017,Coal,7669.0
2018,Coal,7011.0
2019,Coal,5957.0
2020,Coal,5451.0
2021,Coal,5278.0
2022,Coal,5128.0
2023,Coal,4327.0
2013,"Petroleum
Liquids",495.0
2014,"Petroleum
Liquids",544.0
2015,"Petroleum
Liquids",563.0
2016,"Petroleum
Liquids",503.0
2017,"Petroleum
Liquids",463.0
2018,"Petroleum
Liquids",517.0
2019,"Petroleum
Liquids",424.0
2020,"Petroleum
Liquids",398.0
2021,"Petroleum
Liquids",400.0
2022,"Petroleum
Liquids",614.0
2023,"Petroleum
Liquids",494.0
2013,"Petroleum
Coke",2036.0
2014,"Petroleum
Coke",1389.0
2015,"Petroleum
Coke",990.0
2016,"Petroleum
Coke",909.0
2017,"Petroleum
Coke",776.0
2018,"Petroleum
Coke",640.0
2019,"Petroleum
Coke",576.0
2020,"Petroleum
Coke",510.0
2021,"Petroleum
Coke",367.0
2022,"Petroleum
Coke",379.0
2023,"Petroleum
Coke",273.0
2013,"Natural
Gas",88733.0
2014,"Natural
Gas",86209.0
2015,"Natural
Gas",88355.0
2016,"Natural
Gas",91197.0
2017,"Natural
Gas",91647.0
2018,"Natural
Gas",94892.0
2019,"Natural
Gas",100065.0
2020,"Natural
Gas",96381.0
2021,"Natural
Gas",95240.0
2022,"Natural
Gas",96548.0
2023,"Natural
Gas",98463.0
2013,"Other
Fossil
Gas",8531.0
2014,"Other
Fossil
Gas",8664.0
2015,"Other
Fossil
Gas",9401.0
2016,"Other
Fossil
Gas",8895.0
2017,"Other
Fossil
Gas",8343.0
2018,"Other
Fossil
Gas",9377.0
2019,"Other
Fossil
Gas",8554.0
2020,"Other
Fossil
Gas",8644.0
2021,"Other
Fossil
Gas",8093.0
2022,"Other
Fossil
Gas",8271.0
2023,"Other
Fossil
Gas",8438.0
2013,Nuclear,0.0
2014,Nuclear,0.0
2015,Nuclear,0.0
2016,Nuclear,0.0
2017,Nuclear,0.0
2018,Nuclear,0.0
2019,Nuclear,0.0
2020,Nuclear,0.0
2021,Nuclear,0.0
2022,Nuclear,0.0
2023,Nuclear,0.0
2013,"Hydroelectric
Conventional",3463.0
2014,"Hydroelectric
Conventional",1282.0
2015,"Hydroelectric
Conventional",1410.0
2016,"Hydroelectric
Conventional",1269.0
2017,"Hydroelectric
Conventional",1382.0
2018,"Hydroelectric
Conventional",1149.0
2019,"Hydroelectric
Conventional",1033.0
2020,"Hydroelectric
Conventional",1001.0
2021,"Hydroelectric
Conventional",936.0
2022,"Hydroelectric
Conventional",899.0
2023,"Hydroelectric
Conventional",844.0
2013,Solar,17.0
2014,Solar,16.0
2015,Solar,21.0
2016,Solar,27.0
2017,Solar,42.0
2018,Solar,47.0
2019,Solar,85.0
2020,Solar,101.0
2021,Solar,137.0
2022,Solar,276.0
2023,Solar,326.0
2013,"Renewable
Sources
Excluding
Hydroelectric and Solar",29074.0
2014,"Renewable
Sources
Excluding
Hydroelectric and Solar",28659.0
2015,"Renewable
Sources
Excluding
Hydroelectric and Solar",28614.0
2016,"Renewable
Sources
Excluding
Hydroelectric and Solar",28663.0
2017,"Renewable
Sources
Excluding
Hydroelectric and Solar",28508.0
2018,"Renewable
Sources
Excluding
Hydroelectric and Solar",28440.0
2019,"Renewable
Sources
Excluding
Hydroelectric and Solar",27276.0
2020,"Renewable
Sources
Excluding
Hydroelectric and Solar",26348.0
2021,"Renewable
Sources
Excluding
Hydroelectric and Solar",25324.0
2022,"Renewable
Sources
Excluding
Hydroelectric and Solar",24226.0
2023,"Renewable
Sources
Excluding
Hydroelectric and Solar",22130.0
2013,"Hydroelectric
Pumped
Storage",0.0
2014,"Hydroelectric
Pumped
Storage",0.0
2015,"Hydroelectric
Pumped
Storage",0.0
2016,"Hydroelectric
Pumped
Storage",0.0
2017,"Hydroelectric
Pumped
Storage",0.0
2018,"Hydroelectric
Pumped
Storage",0.0
2019,"Hydroelectric
Pumped
Storage",0.0
2020,"Hydroelectric
Pumped
Storage",0.0
2021,"Hydroelectric
Pumped
Storage",0.0
2022,"Hydroelectric
Pumped
Storage",0.0
2023,"Hydroelectric
Pumped
Storage",0.0
2013,Other,5113.0
2014,Other,4978.0
2015,Other,5462.0
2016,Other,5324.0
2017,Other,4928.0
2018,Other,4725.0
2019,Other,4567.0
2020,Other,4231.0
2021,Other,3975.0
2022,Other,3702.0
2023,Other,3369.0
2013,Total Generation at Utility Scale Facilities,150015.0
2014,Total Generation at Utility Scale Facilities,144083.0
2015,Total Generation at Utility Scale Facilities,145712.0
2016,Total Generation at Utility Scale Facilities,145890.0
2017,Total Generation at Utility Scale Facilities,143758.0
2018,Total Generation at Utility Scale Facilities,146798.0
2019,Total Generation at Utility Scale Facilities,148537.0
2020,Total Generation at Utility Scale Facilities,143064.0
2021,Total Generation at Utility Scale Facilities,139750.0
2022,Total Generation at Utility Scale Facilities,140043.0
2023,Total Generation at Utility Scale Facilities,138664.0
2013,Estimated Solar Photovoltaic,
2014,Estimated Solar Photovoltaic,1139.0
2015,Estimated Solar Photovoltaic,1451.0
2016,Estimated Solar Photovoltaic,2060.0
2017,Estimated Solar Photovoltaic,2364.0
2018,Estimated Solar Photovoltaic,2636.0
2019,Estimated Solar Photovoltaic,3041.0
2020,Estimated Solar Photovoltaic,3484.0
2021,Estimated Solar Photovoltaic,3858.0
2022,Estimated Solar Photovoltaic,4048.0
2023,Estimated Solar Photovoltaic,4382.0
2013,Estimated Total Solar Photovoltaic,
2014,Estimated Total Solar Photovoltaic,1156.0
2015,Estimated Total Solar Photovoltaic,1472.0
2016,Estimated Total Solar Photovoltaic,2087.0
2017,Estimated Total Solar Photovoltaic,2406.0
2018,Estimated Total Solar Photovoltaic,2683.0
2019,Estimated Total Solar Photovoltaic,3127.0
2020,Estimated Total Solar Photovoltaic,3586.0
2021,Estimated Total Solar Photovoltaic,3994.0
2022,Estimated Total Solar Photovoltaic,4324.0
2023,Estimated Total Solar Photovoltaic,4708.0
2013,Estimated Total Solar,
2014,Estimated Total Solar,1156.0
2015,Estimated Total Solar,1472.0
2016,Estimated Total Solar,2087.0
2017,Estimated Total Solar,2406.0
2018,Estimated Total Solar,2683.0
2019,Estimated Total Solar,3127.0
2020,Estimated Total Solar,3586.0
2021,Estimated Total Solar,3994.0
2022,Estimated Total Solar,4324.0
2023,Estimated Total Solar,4708.0
2013,Wind,37.0
2014,Wind,53.0
2015,Wind,53.0
2016,Wind,71.0
2017,Wind,84.0
2018,Wind,97.0
2019,Wind,100.0
2020,Wind,617.0
2021,Wind,112.0
2022,Wind,130.0
2023,Wind,112.0
2013,"Solar
Photovoltaic",17.0
2014,"Solar
Photovoltaic",16.0
2015,"Solar
Photovoltaic",21.0
2016,"Solar
Photovoltaic",27.0
2017,"Solar
Photovoltaic",42.0
2018,"Solar
Photovoltaic",47.0
2019,"Solar
Photovoltaic",85.0
2020,"Solar
Photovoltaic",101.0
2021,"Solar
Photovoltaic",137.0
2022,"Solar
Photovoltaic",276.0
2023,"Solar
Photovoltaic",326.0
2013,"Solar
Thermal",0.0
2014,"Solar
Thermal",0.0
2015,"Solar
Thermal",0.0
2016,"Solar
Thermal",0.0
2017,"Solar
Thermal",0.0
2018,"Solar
Thermal",0.0
2019,"Solar
Thermal",0.0
2020,"Solar
Thermal",0.0
2021,"Solar
Thermal",0.0
2022,"Solar
Thermal",0.0
2023,"Solar
Thermal",0.0
2013,"Wood and
Wood-Derived
Fuels",27691.0
2014,"Wood and
Wood-Derived
Fuels",27239.0
2015,"Wood and
Wood-Derived
Fuels",27318.0
2016,"Wood and
Wood-Derived
Fuels",27458.0
2017,"Wood and
Wood-Derived
Fuels",27412.0
2018,"Wood and
Wood-Derived
Fuels",27475.0
2019,"Wood and
Wood-Derived
Fuels",26433.0
2020,"Wood and
Wood-Derived
Fuels",24916.0
2021,"Wood and
Wood-Derived
Fuels",24413.0
2022,"Wood and
Wood-Derived
Fuels",23289.0
2023,"Wood and
Wood-Derived
Fuels",21320.0
2013,"Landfill
Gas",178.0
2014,"Landfill
Gas",185.0
2015,"Landfill
Gas",182.0
2016,"Landfill
Gas",170.0
2017,"Landfill
Gas",183.0
2018,"Landfill
Gas",168.0
2019,"Landfill
Gas",139.0
2020,"Landfill
Gas",133.0
2021,"Landfill
Gas",119.0
2022,"Landfill
Gas",128.0
2023,"Landfill
Gas",127.0
2013,"Biogenic
Municipal
Solid Waste",2.0
2014,"Biogenic
Municipal
Solid Waste",-2.0
2015,"Biogenic
Municipal
Solid Waste",12.0
2016,"Biogenic
Municipal
Solid Waste",6.0
2017,"Biogenic
Municipal
Solid Waste",1.0
2018,"Biogenic
Municipal
Solid Waste",4.0
2019,"Biogenic
Municipal
Solid Waste",5.0
2020,"Biogenic
Municipal
Solid Waste",5.0
2021,"Biogenic
Municipal
Solid Waste",1.0
2022,"Biogenic
Municipal
Solid Waste",0.0
2023,"Biogenic
Municipal
Solid Waste",0.0
2013,Other Waste Biomass,1166.0
2014,Other Waste Biomass,1185.0
2015,Other Waste Biomass,1049.0
2016,Other Waste Biomass,959.0
2017,Other Waste Biomass,827.0
2018,Other Waste Biomass,697.0
2019,Other Waste Biomass,598.0
2020,Other Waste Biomass,676.0
2021,Other Waste Biomass,680.0
2022,Other Waste Biomass,678.0
2023,Other Waste Biomass,571.0
2013,Geothermal,0.0
2014,Geothermal,0.0
2015,Geothermal,0.0
2016,Geothermal,0.0
2017,Geothermal,0.0
2018,Geothermal,0.0
2019,Geothermal,0.0
2020,Geothermal,0.0
2021,Geothermal,0.0
2022,Geothermal,0.0
2023,Geothermal,0.0
2013,"Conventional
Hydroelectric",3463.0
2014,"Conventional
Hydroelectric",1282.0
2015,"Conventional
Hydroelectric",1410.0
2016,"Conventional
Hydroelectric",1269.0
2017,"Conventional
Hydroelectric",1382.0
2018,"Conventional
Hydroelectric",1149.0
2019,"Conventional
Hydroelectric",1033.0
2020,"Conventional
Hydroelectric",1001.0
2021,"Conventional
Hydroelectric",936.0
2022,"Conventional
Hydroelectric",899.0
2023,"Conventional
Hydroelectric",844.0
2013,Total Renewable Generation at Utility Scale Facilities,32554.0
2014,Total Renewable Generation at Utility Scale Facilities,29957.0
2015,Total Renewable Generation at Utility Scale Facilities,30045.0
2016,Total Renewable Generation at Utility Scale Facilities,29960.0
2017,Total Renewable Generation at Utility Scale Facilities,29932.0
2018,Total Renewable Generation at Utility Scale Facilities,29636.0
2019,Total Renewable Generation at Utility Scale Facilities,28395.0
2020,Total Renewable Generation at Utility Scale Facilities,27450.0
2021,Total Renewable Generation at Utility Scale Facilities,26397.0
2022,Total Renewable Generation at Utility Scale Facilities,25401.0
2023,Total Renewable Generation at Utility Scale Facilities,23300.0
2013,Estimated Solar Photovoltaic,
2014,Estimated Solar Photovoltaic,1139.0
2015,Estimated Solar Photovoltaic,1451.0
2016,Estimated Solar Photovoltaic,2060.0
2017,Estimated Solar Photovoltaic,2364.0
2018,Estimated Solar Photovoltaic,2636.0
2019,Estimated Solar Photovoltaic,3041.0
2020,Estimated Solar Photovoltaic,3484.0
2021,Estimated Solar Photovoltaic,3858.0
2022,Estimated Solar Photovoltaic,4048.0
2023,Estimated Solar Photovoltaic,4382.0
2013,Estimated Total Solar Photovoltaic,
2014,Estimated Total Solar Photovoltaic,1156.0
2015,Estimated Total Solar Photovoltaic,1472.0
2016,Estimated Total Solar Photovoltaic,2087.0
2017,Estimated Total Solar Photovoltaic,2406.0
2018,Estimated Total Solar Photovoltaic,2683.0
2019,Estimated Total Solar Photovoltaic,3127.0
2020,Estimated Total Solar Photovoltaic,3586.0
2021,Estimated Total Solar Photovoltaic,3994.0
2022,Estimated Total Solar Photovoltaic,4324.0
2023,Estimated Total Solar Photovoltaic,4708.0
2013,Estimated Total Solar,
2014,Estimated Total Solar,1156.0
2015,Estimated Total Solar,1472.0
2016,Estimated Total Solar,2087.0
2017,Estimated Total Solar,2406.0
2018,Estimated Total Solar,2683.0
2019,Estimated Total Solar,3127.0
2020,Estimated Total Solar,3586.0
2021,Estimated Total Solar,3994.0
2022,Estimated Total Solar,4324.0
2023,Estimated Total Solar,4708.0
2013,Total (all sectors),18350.0
2014,Total (all sectors),18107.0
2015,Total (all sectors),16632.0
2016,Total (all sectors),16586.0
2017,Total (all sectors),14667.0
2018,Total (all sectors),13813.0
2019,Total (all sectors),12397.0
2020,Total (all sectors),10402.0
2021,Total (all sectors),11301.0
2022,Total (all sectors),11356.0
2023,Total (all sectors),9363.0
2013,Electric Utilities,0.0
2014,Electric Utilities,978.0
2015,Electric Utilities,1032.0
2016,Electric Utilities,2979.0
2017,Electric Utilities,2802.0
2018,Electric Utilities,2268.0
2019,Electric Utilities,2062.0
2020,Electric Utilities,1635.0
2021,Electric Utilities,2153.0
2022,Electric Utilities,2269.0
2023,Electric Utilities,1580.0
2013,"Independent
Power Producers",2416.0
2014,"Independent
Power Producers",1821.0
2015,"Independent
Power Producers",1980.0
2016,"Independent
Power Producers",1336.0
2017,"Independent
Power Producers",1158.0
2018,"Independent
Power Producers",1356.0
2019,"Independent
Power Producers",1161.0
2020,"Independent
Power Producers",715.0
2021,"Independent
Power Producers",667.0
2022,"Independent
Power Producers",731.0
2023,"Independent
Power Producers",527.0
2013,"Commercial
Sector",843.0
2014,"Commercial
Sector",861.0
2015,"Commercial
Sector",635.0
2016,"Commercial
Sector",572.0
2017,"Commercial
Sector",515.0
2018,"Commercial
Sector",490.0
2019,"Commercial
Sector",443.0
2020,"Commercial
Sector",401.0
2021,"Commercial
Sector",447.0
2022,"Commercial
Sector",448.0
2023,"Commercial
Sector",331.0
2013,"Industrial
Sector",15090.0
2014,"Industrial
Sector",14448.0
2015,"Industrial
Sector",12985.0
2016,"Industrial
Sector",11700.0
2017,"Industrial
Sector",10192.0
2018,"Industrial
Sector",9700.0
2019,"Industrial
Sector",8731.0
2020,"Industrial
Sector",7651.0
2021,"Industrial
Sector",8034.0
2022,"Industrial
Sector",7908.0
2023,"Industrial
Sector",6925.0
2013,Total (all sectors),23231.0
2014,Total (all sectors),31531.0
2015,Total (all sectors),28925.0
2016,Total (all sectors),22405.0
2017,Total (all sectors),21696.0
2018,Total (all sectors),28614.0
2019,Total (all sectors),20836.0
2020,Total (all sectors),18008.0
2021,Total (all sectors),21633.0
2022,Total (all sectors),28760.0
2023,Total (all sectors),21336.0
2013,Electric Utilities,16827.0
2014,Electric Utilities,19652.0
2015,Electric Utilities,18562.0
2016,Electric Utilities,16137.0
2017,Electric Utilities,15567.0
2018,Electric Utilities,18345.0
2019,Electric Utilities,15677.0
2020,Electric Utilities,13913.0
2021,Electric Utilities,16850.0
2022,Electric Utilities,18375.0
2023,Electric Utilities,16366.0
2013,"Independent
Power Producers",5494.0
2014,"Independent
Power Producers",10689.0
2015,"Independent
Power Producers",9473.0
2016,"Independent
Power Producers",5624.0
2017,"Independent
Power Producers",5461.0
2018,"Independent
Power Producers",9467.0
2019,"Independent
Power Producers",4464.0
2020,"Independent
Power Producers",3447.0
2021,"Independent
Power Producers",4102.0
2022,"Independent
Power Producers",9474.0
2023,"Independent
Power Producers",4253.0
2013,"Commercial
Sector",328.0
2014,"Commercial
Sector",451.0
2015,"Commercial
Sector",249.0
2016,"Commercial
Sector",108.0
2017,"Commercial
Sector",191.0
2018,"Commercial
Sector",269.0
2019,"Commercial
Sector",251.0
2020,"Commercial
Sector",238.0
2021,"Commercial
Sector",250.0
2022,"Commercial
Sector",254.0
2023,"Commercial
Sector",200.0
2013,"Industrial
Sector",582.0
2014,"Industrial
Sector",739.0
2015,"Industrial
Sector",641.0
2016,"Industrial
Sector",536.0
2017,"Industrial
Sector",476.0
2018,"Industrial
Sector",534.0
2019,"Industrial
Sector",444.0
2020,"Industrial
Sector",410.0
2021,"Industrial
Sector",432.0
2022,"Industrial
Sector",657.0
2023,"Industrial
Sector",517.0
2015,491.0,427.0
2016,491.0,381.0
2017,491.0,359.0
2018,491.0,336.0
2019,491.0,308.0
2020,491.0,284.0
2021,491.0,269.0
2022,491.0,242.0
2023,491.0,227.0
2013,491.0,300.0
2014,491.0,286.0
2015,491.0,256.0
2016,491.0,230.0
2017,491.0,219.0
2018,491.0,206.0
2019,491.0,194.0
2020,491.0,181.0
2021,491.0,169.0
2022,491.0,157.0
2023,491.0,148.0
2013,491.0,86.0
2014,491.0,87.0
2015,491.0,80.0
2016,491.0,75.0
2017,491.0,71.0
2018,491.0,65.0
2019,491.0,59.0
2020,491.0,56.0
2021,491.0,56.0
2022,491.0,46.0
2023,491.0,43.0
2013,491.0,35.0
2014,491.0,30.0
2015,491.0,27.0
2016,491.0,24.0
2017,491.0,22.0
2018,491.0,19.0
2019,491.0,14.0
2020,491.0,12.0
2021,491.0,11.0
2022,491.0,8.0
2023,491.0,8.0
2013,491.0,19.0
2014,491.0,17.0
2015,491.0,12.0
2016,491.0,9.0
2017,491.0,9.0
2018,491.0,7.0
2019,491.0,6.0
2020,491.0,4.0
2021,491.0,4.0
2022,491.0,3.0
2023,491.0,3.0
2013,491.0,78.0
2014,491.0,71.0
2015,491.0,52.0
2016,491.0,43.0
2017,491.0,38.0
2018,491.0,39.0
2019,491.0,35.0
2020,491.0,31.0
2021,491.0,29.0
2022,491.0,28.0
2023,491.0,25.0
2015,1082.0,1082.0
2016,1082.0,1076.0
2017,1082.0,1080.0
2018,1082.0,1087.0
2019,1082.0,1090.0
2020,1082.0,1091.0
2021,1082.0,1104.0
2022,1082.0,1084.0
2023,1082.0,1075.0
2013,1082.0,795.0
2014,1082.0,780.0
2015,1082.0,782.0
2016,1082.0,771.0
2017,1082.0,765.0
2018,1082.0,751.0
2019,1082.0,743.0
2020,1082.0,743.0
2021,1082.0,739.0
2022,1082.0,726.0
2023,1082.0,721.0
2013,1082.0,147.0
2014,1082.0,148.0
2015,1082.0,143.0
2016,1082.0,142.0
2017,1082.0,145.0
2018,1082.0,140.0
2019,1082.0,141.0
2020,1082.0,135.0
2021,1082.0,150.0
2022,1082.0,139.0
2023,1082.0,135.0
2013,1082.0,11.0
2014,1082.0,9.0
2015,1082.0,8.0
2016,1082.0,7.0
2017,1082.0,7.0
2018,1082.0,8.0
2019,1082.0,6.0
2020,1082.0,7.0
2021,1082.0,8.0
2022,1082.0,7.0
2023,1082.0,7.0
2013,1082.0,92.0
2014,1082.0,93.0
2015,1082.0,94.0
2016,1082.0,101.0
2017,1082.0,112.0
2018,1082.0,139.0
2019,1082.0,152.0
2020,1082.0,156.0
2021,1082.0,160.0
2022,1082.0,161.0
2023,1082.0,163.0
2013,1082.0,56.0
2014,1082.0,52.0
2015,1082.0,55.0
2016,1082.0,55.0
2017,1082.0,51.0
2018,1082.0,49.0
2019,1082.0,48.0
2020,1082.0,50.0
2021,1082.0,47.0
2022,1082.0,51.0
2023,1082.0,49.0
2015,1749.0,1779.0
2016,1749.0,1801.0
2017,1749.0,1820.0
2018,1749.0,1854.0
2019,1749.0,1899.0
2020,1749.0,1926.0
2021,1749.0,2020.0
2022,1749.0,2073.0
2023,1749.0,2084.0
2013,1749.0,787.0
2014,1749.0,803.0
2015,1749.0,816.0
2016,1749.0,819.0
2017,1749.0,820.0
2018,1749.0,819.0
2019,1749.0,818.0
2020,1749.0,820.0
2021,1749.0,813.0
2022,1749.0,835.0
2023,1749.0,837.0
2013,1749.0,384.0
2014,1749.0,395.0
2015,1749.0,397.0
2016,1749.0,406.0
2017,1749.0,415.0
2018,1749.0,450.0
2019,1749.0,476.0
2020,1749.0,491.0
2021,1749.0,521.0
2022,1749.0,548.0
2023,1749.0,562.0
2013,1749.0,152.0
2014,1749.0,145.0
2015,1749.0,143.0
2016,1749.0,143.0
2017,1749.0,138.0
2018,1749.0,133.0
2019,1749.0,128.0
2020,1749.0,121.0
2021,1749.0,122.0
2022,1749.0,119.0
2023,1749.0,118.0
2013,1749.0,164.0
2014,1749.0,169.0
2015,1749.0,176.0
2016,1749.0,181.0
2017,1749.0,189.0
2018,1749.0,192.0
2019,1749.0,203.0
2020,1749.0,220.0
2021,1749.0,281.0
2022,1749.0,287.0
2023,1749.0,285.0
2013,1749.0,238.0
2014,1749.0,237.0
2015,1749.0,247.0
2016,1749.0,252.0
2017,1749.0,258.0
2018,1749.0,260.0
2019,1749.0,274.0
2020,1749.0,274.0
2021,1749.0,283.0
2022,1749.0,284.0
2023,1749.0,282.0
2015,43.0,45
2016,43.0,45
2017,43.0,44
2018,43.0,46
2019,43.0,43
2020,43.0,42
2021,43.0,37
2022,43.0,33
2023,43.0,35
2013,43.0,1
2014,43.0,1
2015,43.0,1
2016,43.0,1
2017,43.0,1
2018,43.0,1
2019,43.0,1
2020,43.0,1
2021,43.0,1
2022,43.0,1
2023,43.0,1
2013,43.0,1
2014,43.0,1
2015,43.0,--
2016,43.0,--
2017,43.0,--
2018,43.0,--
2019,43.0,--
2020,43.0,--
2021,43.0,--
2022,43.0,--
2023,43.0,--
2013,43.0,2
2014,43.0,2
2015,43.0,3
2016,43.0,3
2017,43.0,3
2018,43.0,3
2019,43.0,3
2020,43.0,3
2021,43.0,3
2022,43.0,3
2023,43.0,3
2013,43.0,--
2014,43.0,--
2015,43.0,--
2016,43.0,--
2017,43.0,--
2018,43.0,--
2019,43.0,--
2020,43.0,--
2021,43.0,--
2022,43.0,--
2023,43.0,--
2013,43.0,40
2014,43.0,39
2015,43.0,41
2016,43.0,41
2017,43.0,40
2018,43.0,42
2019,43.0,39
2020,43.0,38
2021,43.0,33
2022,43.0,29
2023,43.0,31
2015,62.0,62
2016,62.0,61
2017,62.0,61
2018,62.0,60
2019,62.0,58
2020,62.0,56
2021,62.0,55
2022,62.0,54
2023,62.0,54
2013,62.0,32
2014,62.0,32
2015,62.0,32
2016,62.0,31
2017,62.0,31
2018,62.0,31
2019,62.0,31
2020,62.0,31
2021,62.0,31
2022,62.0,31
2023,62.0,31
2013,62.0,31
2014,62.0,30
2015,62.0,30
2016,62.0,30
2017,62.0,30
2018,62.0,29
2019,62.0,27
2020,62.0,25
2021,62.0,24
2022,62.0,23
2023,62.0,23
2013,62.0,--
2014,62.0,--
2015,62.0,--
2016,62.0,--
2017,62.0,--
2018,62.0,--
2019,62.0,--
2020,62.0,--
2021,62.0,--
2022,62.0,--
2023,62.0,--
2013,62.0,--
2014,62.0,--
2015,62.0,--
2016,62.0,--
2017,62.0,--
2018,62.0,--
2019,62.0,--
2020,62.0,--
2021,62.0,--
2022,62.0,--
2023,62.0,--
2013,62.0,--
2014,62.0,--
2015,62.0,--
2016,62.0,--
2017,62.0,--
2018,62.0,--
2019,62.0,--
2020,62.0,--
2021,62.0,--
2022,62.0,--
2023,62.0,--
2015,1441.0,1440
2016,1441.0,1451
2017,1441.0,1458
2018,1441.0,1458
2019,1441.0,1452
2020,1441.0,1446
2021,1441.0,1449
2022,1441.0,1445
2023,1441.0,1441
2013,1441.0,873
2014,1441.0,889
2015,1441.0,890
2016,1441.0,893
2017,1441.0,894
2018,1441.0,896
2019,1441.0,898
2020,1441.0,892
2021,1441.0,879
2022,1441.0,875
2023,1441.0,873
2013,1441.0,505
2014,1441.0,499
2015,1441.0,497
2016,1441.0,500
2017,1441.0,505
2018,1441.0,514
2019,1441.0,506
2020,1441.0,506
2021,1441.0,521
2022,1441.0,521
2023,1441.0,520
2013,1441.0,1
2014,1441.0,--
2015,1441.0,--
2016,1441.0,--
2017,1441.0,--
2018,1441.0,--
2019,1441.0,--
2020,1441.0,--
2021,1441.0,--
2022,1441.0,--
2023,1441.0,--
2013,1441.0,9
2014,1441.0,10
2015,1441.0,10
2016,1441.0,14
2017,1441.0,15
2018,1441.0,15
2019,1441.0,15
2020,1441.0,15
2021,1441.0,16
2022,1441.0,17
2023,1441.0,17
2013,1441.0,47
2014,1441.0,43
2015,1441.0,43
2016,1441.0,44
2017,1441.0,44
2018,1441.0,33
2019,1441.0,33
2020,1441.0,33
2021,1441.0,33
2022,1441.0,32
2023,1441.0,31
2015,2674.0,3043.0
2016,2674.0,3624.0
2017,2674.0,4174.0
2018,2674.0,4667.0
2019,2674.0,5244.0
2020,2674.0,5918.0
2021,2674.0,6579.0
2022,2674.0,7084.0
2023,2674.0,7684.0
2013,2674.0,253.0
2014,2674.0,272.0
2015,2674.0,318.0
2016,2674.0,375.0
2017,2674.0,417.0
2018,2674.0,462.0
2019,2674.0,512.0
2020,2674.0,586.0
2021,2674.0,649.0
2022,2674.0,709.0
2023,2674.0,782.0
2013,2674.0,1670.0
2014,2674.0,2006.0
2015,2674.0,2309.0
2016,2674.0,2826.0
2017,2674.0,3320.0
2018,2674.0,3749.0
2019,2674.0,4251.0
2020,2674.0,4847.0
2021,2674.0,5429.0
2022,2674.0,5833.0
2023,2674.0,6359.0
2013,2674.0,51.0
2014,2674.0,54.0
2015,2674.0,58.0
2016,2674.0,57.0
2017,2674.0,56.0
2018,2674.0,56.0
2019,2674.0,56.0
2020,2674.0,56.0
2021,2674.0,52.0
2022,2674.0,54.0
2023,2674.0,52.0
2013,2674.0,160.0
2014,2674.0,178.0
2015,2674.0,186.0
2016,2674.0,195.0
2017,2674.0,203.0
2018,2674.0,220.0
2019,2674.0,242.0
2020,2674.0,240.0
2021,2674.0,255.0
2022,2674.0,277.0
2023,2674.0,278.0
2013,2674.0,165.0
2014,2674.0,164.0
2015,2674.0,172.0
2016,2674.0,171.0
2017,2674.0,178.0
2018,2674.0,180.0
2019,2674.0,183.0
2020,2674.0,189.0
2021,2674.0,194.0
2022,2674.0,211.0
2023,2674.0,213.0
2015,41.0,41
2016,41.0,40
2017,41.0,40
2018,41.0,40
2019,41.0,40
2020,41.0,40
2021,41.0,40
2022,41.0,40
2023,41.0,40
2013,41.0,36
2014,41.0,35
2015,41.0,35
2016,41.0,35
2017,41.0,35
2018,41.0,35
2019,41.0,35
2020,41.0,35
2021,41.0,34
2022,41.0,34
2023,41.0,34
2013,41.0,5
2014,41.0,5
2015,41.0,5
2016,41.0,5
2017,41.0,5
2018,41.0,5
2019,41.0,5
2020,41.0,5
2021,41.0,6
2022,41.0,6
2023,41.0,6
2013,41.0,--
2014,41.0,--
2015,41.0,--
2016,41.0,--
2017,41.0,--
2018,41.0,--
2019,41.0,--
2020,41.0,--
2021,41.0,--
2022,41.0,--
2023,41.0,--
2013,41.0,--
2014,41.0,1
2015,41.0,1
2016,41.0,--
2017,41.0,--
2018,41.0,--
2019,41.0,--
2020,41.0,--
2021,41.0,--
2022,41.0,--
2023,41.0,--
2013,41.0,--
2014,41.0,--
2015,41.0,--
2016,41.0,--
2017,41.0,--
2018,41.0,--
2019,41.0,--
2020,41.0,--
2021,41.0,--
2022,41.0,--
2023,41.0,--
2015,94.0,83.0
2016,94.0,117.0
2017,94.0,148.0
2018,94.0,171.0
2019,94.0,212.0
