text,year,location

(1) Delaware State Fire Prevention Commission or its duly authorized representative;

(2) Wilmington Medical Center School for Emergency Medical Technicians;

(3) Delaware Committee on Trauma of the American College of Surgeons - Advanced Trauma Life Support;

(4) American Heart Association of Delaware - cardiopulmonary resusciation (CPR) training programs and Advanced Cardiac Life Support;

(5) American Red Cross, Delaware Chapter - CPR training and first-aid training;

(6) Delaware Chapter of the American College of Emergency Physicians;

(7) Delaware Chapter of the Emergency Department Nurses Association; and

(8) Any other organization not listed above that provides certified emergency medical training, including CPR.

(b) Training: All organizations providing emergency medical training programs, as listed under the Manpower section, shall provide to the Office copies of course curricula and schedules of the availability of training courses. The Office shall monitor EMS training levels to provide information on the availability of training programs for all levels of EMS personnel. In addition, the EMS Office shall keep abreast of all federal training standards to ensure that EMS training agencies in Delaware are aware of regional and national standards. In accordance with Title 16, Subsection 6711, Paragraph 3 of the Delaware Code, the State Fire Prevention Commission shall adopt regulations setting forth the qualifications required for the certification of Ambulance Attendants., Since Advanced Life Support ambulance personnel are 'physicians' assistants' as defined in the Delaware Code, Section 1703(e) (7), they must have been trained in programs approved by the Delaware State Board of Medical Practice.

(c) Communications: The Office shall: (1) Through the appropriate County dispatch center directors, monitor and evaluate the effectiveness of the statewide EMS Communications System; (2) Identify resources to improve or augment both the Communications System in Delaware and the training of Env ilea! dispatchers as needed; (3) Monitor and evaluate the effectiveness of emergency access numbers in terms of the impact on the EMS System.

(d) Transportation: In conjunction with appropriate EMS providers in Delaware, the Office shall monitor and evaluate emergency medical transportation services in Delaware to ensure that patients in the EMS System have access to effective and efficient transportation to appropriate treatment

Pursuant to Title 16, Subsection 6709 of the Delaware Code, all ambulances in Delaware shall he Inspected and certified by the Delaware State Fire Prevention Commission or a duly authorized representative thereof. The Delaware State Fire Prevention Commission or its duly authorized representative shall be required to provide to the Office on an annual basis a listing and location of certified ambulances.

(e) Facilities: The Office shall monitor the availability of the various levels of care of EMS facilities and services and shall have the authority to categorize all Delaware emergency receiving facilities and services in accordance with criteria established by the Joint Commission on Accreditation of Hospitals (JCAH) for hospital settings and other appropriate national professional organizations for non-hospital settings. This authority shall also include the responsibility of categorizing and designating by level of care when appropriate, specialty care facilities in accordance with the established criteria of the American Medical Association or other appropriate national professional organizations. In addition, the Office shall periodically re-evaluate the categorization or designation of emergency care facilities and specialty care services.

(f) Specialty Care Units: The Office shall identify the categorization of the seven specialty care areas for EMS which are available to all patients (the specialty care areas are: trauma, burns, spinal cord, poisoning, acute cardiac, high-risk infant and behavorial emergencies). In addition, the Office shall coordinate the activities of the EMS System to ensure that all patients have access, within a reasonable time period depending on the nature of the illness, to specialty care services. In accordance with this activity, the Office shall have the authority to desigante or categorize specialty care units by level of care as specified in the section related to facilities.

(g) Public Safety Agencies: Based on the data obtained in the section related to Manpower, the Office shall monitor and evaluate the activities of public safety agencies to determine the number of trained first responders and to promote their participation, to the maximum level possible consistent with their capabilities, in emergency medical situations.

(h) Consumer Participation: All agencies and organizations involved in the EMS System in Delaware should seek reasonable consumer participation in planning, development and organizational activities.

(i) Access To Care: The Office shall monitor and evaluate activities of all EMS organizations to ensure that no person is denied emergency treatment or transportation services.

(j) Patient Transfer: The EMS System shall provide for transfer of patients to facilities and programs which offer such follow-up care and rehabilitation as is necessary to effect the maximum recovery of the patient.

The transfer of emergency patients from the emergency site to the emergency department, specialty care unit, and to follow-up care and rehabilitation centers arc all within the scope of a total EMS System.

(k) Coordinated Patient Record keeping: The Office shall collect and analyze available data from all providers of the EMS System. This data will be used by the Office in conjunction with the appropriate EMS providers, to evaluate the overall effectiveness of the system. It is necessary that the data be collected from each level of care, which includes the initial entry point through final discharge from the health care delivery system.

(l) Public Information and Education: The Office shall provide programs of public information and education designed to inform residents of Delaware and visitors to the State of the availability of, proper use of and access to emergency medical services. Included in these programs will be elements related to citizens involvement in the administration of prchospital care (first-aid, CPR, etc.) and information pertaining to the availability of training programs in Delaware. In addition, the Office shall monitor public EMS information and education programs of major importance offered by other EMS providers in Delaware.

(m) Review and Evaluation: In conjunction with the health planning agencies and the EMS providers in Delaware, the Office shall conduct and/or coordinate an on-going comprehensive evaluation of the effectiveness of the EMS System, in terms of the impact on the health status of the EMS patients in Delaware.

(n) Disaster Planning: The Office shall: (1) Upon request, participate in disaster planning with all organizations that provide emergency medical servcies to assist with coordination of disaster activities which impact the EMS System and, (2) Review all municipal, county and State disaster plans which utilize the Emergency Medical Services System. All organizations involved in planning disaster exercises which impact the EMS System should advise the Office of scheduled disaster exercises. In addition, the Office shall, upon request, participate in disaster exercises for the purpose of evaluation and improvement of the Emergency Medical Services System and make recommendations as needed to the appropriate- provider for the refinement of their disaster plans. All disaster planning activities of the Office shall be coordinated with the Division of Emergency Planning and Operations as authorized by Title 20, Chapter 31 of the Delaware Code, and the Department of Health and Social Services Disaster Coordinator.

(o) Mutual Aid Agreements: The Director of the Office in conjunction with the Division Director shall be authorized to develop and implement mutual aid agreements as may he necessary to ensure continuity of care. These agreements shall be coordinated through and approved by the appropriate EMS providers. These agreements may relate to reciprocity of services, and treatment, transfer and triage protocols to coordinate the provision of services, both within Delaware and across State lines as necessary.

§7955. General Provisions

(a) In order to monitor and evaluate the effectiveness of the EMS System, the Office must be notified of any proposed new service or major service modification within the Emergency Medical Services System in Delaware.

(b) Copies of applications for federal, state and county Emergency Medical Service grant funds shall be sent to the Office.

(c) All proposed legislation pertaining to the EMS System in Delaware shall be reviewed by DEMSAC-Tvith recommendations from the Office.

(d) The Office shall, with the consent of the Director of the Division of Public Health, be auithorized to make news releases pertaining to the Emergency Medical Services System as required in order to inform the public on issues pertinent to the health and well being of the citizens of Delaware.

(e) The Office shall be required to provide routine progress reports identifying the accomplishments and the problem areas within the System to DEMSAC at its regularly scheduled meetings. In addition, an annual summary report shall be sent to the Chairman of DEMSAC through the Division Director by August 15th of each year.

(f) The Office is authorized and empowered to apply for, accept and disburse grants, gifts and contributions from the government, individuals, foundations, corporations, and other organizations, agencies or institutions on behalf of the EMS System in Delaware.

(g) During the fiscal year ending June 30, 1983 the Department of Health and Social Services shall implement as many of the provisions of this Subchapter as possible within the constraints of its appropriation for said fiscal year. In its budget request for the fiscal year ending June 30, 1984 and subsequently, the Department shall include the funds necessary to carry out the provisions of this Subchapter.

Approved July 9, 1982.",1982.0,Delaware
"CHAPTER 546.

OF SCHOOLS.

Be it enacted by the Senate and House of Representatives of the Stale of Delaware in General Assembly met (two-thirds of each branch thereof concurring therein):

SECTION 1. That the name of the corporation created by the act entitled ""An Act to incorporate the Ferris Reform School,"" passed at Dover, March 10, 1885, is hereby changed from `The Ferris Reform School"" to ""The Ferris Industrial School,"" by which last name the said corporation shall hereafter be known, and under such new name it shall be entitled to and shall hold, exercise and enjoy all the property, rights, powers, privileges, franchises and immunities now and heretofore held and enjoyed by said corporation in any manner whatever.

Passed at Dover, February 18, 1889.",1885.0,Delaware
"


CHAPTER 339

FORMERLY

SENATE BILL NO. 399

AN ACT TO AMEND TITLE 20 OF THE DELAWARE CODE RELATING TO EMERGENCY ORDERS.

BE IT ENACTED BY THE GENERAL ASSEMBLY OF THE STATE OF DELAWARE :

Section 1. Amend §3116(a)(5) of Title 20, Delaware Code, by striking the phrase ""within 14 days"" as it appears on the fourth sentence of such subsection and replacing such phrase with the phrase ""within 60 days"".

Approved June 30, 2002",2002.0,Delaware
"


CHAPTER 298

FORMERLY

HOUSE BILL NO. 237

AS AMENDED BY SENATE AMENDMENT NO. 1

AN ACT TO AMEND CHAPTER 69, TITLE 29 OF THE DELAWARE CODE BY INCLUDING A DEFINITION FOR MAINTENANCE CONTRACTS AND GRANTING STATE AGENCIES AUTHORITY TO WAIVE PERFORMANCE BONDS FOR STATE MAINTENANCE CONTRACTS IF IT IS SO STATED IN THE BID SPECIFICATIONS AND TO REQUIRE INSURANCE FOR JOB PERFORMANCE.

BE IT ENACTED BY THE GENERAL ASSEMBLY OF THE STATE OF DELAWARE:

Section 1. Amend Section 6901, Chapter 69, Title 29 of the Delaware Code by adding a new subsection (8) which shall read as follows:

""(8) Maintenance contracts means any service contract covering roadside or road maintenance Including but not Ilmited to mowing, pesticide and growth regulator application or spraying, mulching, brush and tree trimming, tree removal, maintenance or operation of a bus route, snow removal, crack sealing and landscape maintenance.

Section 2. Amend Section 6909(a), Chapter 69 by deleting subsection (a) In Its

entirety, and substituting in lieu thereof the following:

""(a) Simultaneous with the execution of the formal contract where required by subsection (a) of §6908 this Title, the successful bidder shall also execute a good and sufficient bond to the State or the contracting county for the benefit of the agency, with corporate surety authorized to do business in this State, In a sum equal to one hundred (100) percent of the contract price, except as otherwise provided In this Section and further providing, however, that In a contract for the purchase of materiel, or In the execution of maintenance contracts as defined In this Title, the agency may reduce or waive such bond requirement from the successful bidder, If such reduction or waiver has been stated In the bid specifications.""

Section 3. Amend Chapter 69, Section 6909, Title 29 of the Delaware Code by adding a

new subsection (g) thereto to read as follows:

""(g) In addition to the bond, letter of credit, or other financial security posed by the successful bidder In conjunction with the execution of the formal contract, each successful bidder, regardless of the type of the security posed or waived, as the case may be must purchase adequate Insurance for the performance of the contract and, by submission of a bid, does agree to indemnify and save harmless and to defend all legal or equitable actions brought against the State, any agency, officer, and/or employee of the State, for and from all claims of liability which is or may be the result of the successful bidder's actions, during the performance of the contract. The purchase or non-purchase of such insurance or the involvement of the successful bidder in any legal or equitable defense of any action brought against the successful bidder based upon work performed pursuant to the contract, will not waive any defense which the State, its agency, the contracting county and their respective officers and employees might otherwise have to such claims, specifically including the defense of sovereign immunity, where applicable, and by the terms of this Section, the State. contracting county and all agencies, officers, and employees thereof shall not be financially responsible for the consequences of work performed, pursuant to said contract.""

Approved June 30. 1988.",,Delaware
"


CHAPTER 234

FORMERLY

HOUSE BILL NO. 212

AS AMENDED BY

HOUSE AMENDMENT NO. 1

AND

SENATE AMENDMENT NO. 1

AND

HOUSE AMENDMENT NO. 5 AS AMENDED BY HOUSE AMENDMENT NO. 1 TO HOUSE AMENDMENT NO. 5

AND

SENATE AMENDMENT NO. 2

AND

SENATE AMENDMENT NO. 3

AN ACT TO AMEND TITLE 7 OF THE DELAWARE CODE RELATING TO ENVIRONMENTAL CONTROL.

BE IT ENACTED BY THE GENERAL ASSEMBLY OF THE STATE OF DELAWARE:

Section 1. Amend § 6002, Title 7 of the Delaware Code by making deletions as shown by strike through and insertions as shown by underline as follows and by redesignating accordingly:

§ 6002. Definitions.

The following words and phrases shall have the meaning ascribed to them in this chapter unless the context clearly indicates otherwise:

(27) “Industrial landfill” means a landsite at which industrial waste is deposited on or into the land as fill for the purpose of permanent disposal. “Industrial landfill” does not mean a facility approved for any of the following:

a. The disposal of hazardous waste under § 6307 of this title.

b. A sanitary landfill under § 6010 of this title.

Section 2. Amend § 6003, Title 7 of the Delaware Code by making deletions as shown by strike through and insertions as shown by underline as follows:

§ 6003. Permit – Required.

(c) The Secretary shall grant or deny a permit required by subsection (a) or (b) of this section in accordance with duly promulgated regulations and provided all of the following:

(1) No permit may be granted unless the county or municipality having jurisdiction has first approved the activity by zoning procedures provided by law; and .

(2) No permit may be granted to any incinerator unless all of the following apply:

a. The property on which the incinerator is or would be located is within an area which is zoned for heavy industrial activity and shall be subject to such process rules, regulations or ordinances as the county, municipality or other government entity shall require by law, such as a conditional use, so that conditions may be applied regarding the health, safety and welfare of the citizens within the jurisdiction; and jurisdiction.

b. Every point on the property boundary line of the property on which the incinerator is or would be located is all of the following:

1. At least 3 miles from every point on the property boundary line of any residence; residence.

2. At least 3 miles from every point on the property boundary line of any residential community; and community.

3. At least 3 miles from every point on the property boundary line of any church, school, park, or hospital.

(3) No permit or modification to a permit may be granted for an industrial landfill that authorizes a maximum height, including the cap and cover vegetation, of more than 140 feet above the mean sea level of the area.

(j) For any industrial landfill not approved by the Department to accept waste as of [the effective date of this Act], the Secretary shall grant or deny a permit for an industrial landfill under subsection (a) or (b) of this section in accordance with duly promulgated regulations and:

(1) The county, municipality, or other governmental entity having jurisdiction is satisfied that all the following have been established:

a. The property on which the industrial landfill is or would be located is within an area which is zoned for heavy industrial activity.

b. The property on which the industrial landfill is or would be located is subject to such process rules, regulations, or ordinances as the county, municipality, or other government entity shall require by law.

c. The necessary conditions may be applied in order to ensure the health, safety, and welfare of citizens within the jurisdiction.

d. Every point on the property boundary line of the property on which the industrial landfill is or will be located is at least a ¼ mile from all of the following property boundary lines:

1. Any residence, school, park, and hospital.

2. Any residential community.

3. Any wetlands.

(2) No permit or modification to a permit may be granted by the Secretary for an industrial landfill that authorizes a maximum height, including the cap and cover vegetation of more than 140 feet above the mean sea level of the area.

Approved February 20, 2020


",2020.0,Delaware
